url	status	n_redirects	redirect_chain	final_url	content_type	title	note
https://bioconductor.org/about/technical-advisory-board/2022-07-07-minutes.pdf	200	0			application/pdf		
https://bioconductor.org/about/technical-advisory-board/2022-08-04-minutes.pdf	200	0			application/pdf		
https://bioconductor.org/about/technical-advisory-board/2022-04-07-minutes.pdf	200	0			application/pdf		
https://bioconductor.org/about/technical-advisory-board/2022-10-06-minutes.pdf	200	0			application/pdf		
https://bioconductor.org/about/technical-advisory-board/2022-11-03-minutes.pdf	200	0			application/pdf		
https://bioconductor.org/about/technical-advisory-board/2022-12-01-minutes.pdf	200	0			application/pdf		
https://bioconductor.org/about/technical-advisory-board/2023-01-05-minutes.pdf	200	0			application/pdf		
https://bioconductor.org/about/technical-advisory-board/2023-02-02-minutes.pdf	200	0			application/pdf		
https://bioconductor.org/about/technical-advisory-board/2023-03-02-minutes.pdf	200	0			application/pdf		
https://bioconductor.org/about/technical-advisory-board/2023-04-06-minutes.pdf	200	0			application/pdf		
https://bioconductor.org/about/technical-advisory-board/2023-12-07-minutes.pdf	200	0			application/pdf		
https://bioconductor.org/about/technical-advisory-board/2023-06-01-minutes.pdf	200	0			application/pdf		
